コード, 市町村FLG, 名前, ふりがな, URL
093441, 3, 市貝町, ﾅｽｶﾗｽﾔﾏｼ, https://www.town.ichikai.tochigi.jp/
093459, 3, 芳賀町, ｼﾓﾂｹｼ, https://www.town.tochigi-haga.lg.jp/
093611, 3, 壬生町, ｶﾐﾉｶﾜﾏﾁ, https://www.town.mibu.tochigi.jp/
093645, 3, 野木町, ﾏｼｺﾏﾁ, https://www.town.nogi.lg.jp/
093840, 3, 塩谷町, ﾓﾃｷﾞﾏﾁ, https://www.town.shioya.tochigi.jp/
093866, 3, 高根沢町, ｲﾁｶｲﾏﾁ, https://www.town.takanezawa.tochigi.jp/
094072, 3, 那須町, ﾊｶﾞﾏﾁ, https://www.town.nasu.lg.jp/
094111, 3, 那珂川町, ﾐﾌﾞﾏﾁ, http://www.town.tochigi-nakagawa.lg.jp/
100005, 1, 群馬県, ﾉｷﾞﾏﾁ, https://www.pref.gunma.jp/
102016, 2, 前橋市, ｼｵﾔﾏﾁ, https://www.city.maebashi.gunma.jp/
102024, 2, 高崎市, ﾀｶﾈｻﾞﾜﾏﾁ, http://www.city.takasaki.gunma.jp/
102032, 2, 桐生市, ﾅｽﾏﾁ, https://www.city.kiryu.lg.jp/
102041, 2, 伊勢崎市, ﾅｶｶﾞﾜﾏﾁ, https://www.city.isesaki.lg.jp/
102059, 2, 太田市, , https://www.city.ota.gunma.jp/
102067, 2, 沼田市, ｸﾞﾝﾏｹﾝ, https://www.city.numata.gunma.jp/
102075, 2, 館林市, ﾀｶｻｷｼ, https://www.city.tatebayashi.gunma.jp/
102083, 2, 渋川市, ｷﾘｭｳｼ, https://www.city.shibukawa.lg.jp/
102091, 2, 藤岡市, ｲｾｻｷｼ, https://www.city.fujioka.gunma.jp/
102105, 2, 富岡市, ｵｵﾀｼ, https://www.city.tomioka.lg.jp/
102113, 2, 安中市, ﾇﾏﾀｼ, https://www.city.annaka.lg.jp/
102121, 2, みどり市, ﾀﾃﾊﾞﾔｼｼ, https://www.city.midori.gunma.jp/
103446, 4, 榛東村, ｼﾌﾞｶﾜｼ, http://www.vill.shinto.gunma.jp/
103454, 3, 吉岡町, ﾌｼﾞｵｶｼ, http://www.town.yoshioka.gunma.jp/
103667, 4, 上野村, ﾄﾐｵｶｼ, http://www.uenomura.jp/
103675, 3, 神流町, ｱﾝﾅｶｼ, http://town.kanna.gunma.jp/
103829, 3, 下仁田町, ﾐﾄﾞﾘｼ, https://www.town.shimonita.lg.jp/
103837, 4, 南牧村, ｼﾝﾄｳﾑﾗ, http://www.nanmoku.ne.jp/
103845, 3, 甘楽町, ﾖｼｵｶﾏﾁ, https://www.town.kanra.lg.jp/
104213, 3, 中之条町, ｳｴﾉﾑﾗ, https://www.town.nakanojo.gunma.jp/
104248, 3, 長野原町, ｶﾝﾅﾏﾁ, https://www.town.naganohara.gunma.jp/
104256, 4, 嬬恋村, ｼﾓﾆﾀﾏﾁ, http://www.vill.tsumagoi.gunma.jp/
104264, 3, 草津町, ﾅﾝﾓｸﾑﾗ, https://www.town.kusatsu.gunma.jp/
104281, 4, 高山村, ｶﾝﾗﾏﾁ, https://www.vill.takayama.gunma.jp/
104299, 3, 東吾妻町, ﾅｶﾉｼﾞﾖｳﾏﾁ, https://www.town.higashiagatsuma.gunma.jp/
104434, 4, 片品村, ﾅｶﾞﾉﾊﾗﾏﾁ, http://www.vill.katashina.gunma.jp/
104442, 4, 川場村, ﾂﾏｺﾞｲﾑﾗ, http://www.vill.kawaba.gunma.jp/
074462, 4, 昭和村, ｸｻﾂﾏﾁ, https://www.vill.showa.gunma.jp/
104493, 3, みなかみ町, ﾀｶﾔﾏﾑﾗ, https://www.town.minakami.gunma.jp/
104647, 3, 玉村町, ﾋｶﾞｼｱｶﾞﾂﾏﾏﾁ, https://www.town.tamamura.lg.jp/
105210, 3, 板倉町, ｶﾀｼﾅﾑﾗ, http://www.town.itakura.gunma.jp/
105228, 3, 明和町, ｶﾜﾊﾞﾑﾗ, https://www.town.meiwa.gunma.jp/
105236, 3, 千代田町, ｼｮｳﾜﾑﾗ, http://www.town.chiyoda.gunma.jp/
